"Product","product_map"
"IS1634-like element ISPlu4 family transposase","A44877"
"IS1634-like element ISPph1 family transposase","A68443"
"IS1634-like element ISSeq4 family transposase","A33660"
"IS1634-like element ISShes12 family transposase","A39415"
"IS1634-like element ISSpu7 family transposase","A39420"
"IS1634-like element ISTth3 family transposase","A37701"
"IS1634-like element ISTvo4 family transposase","A56915"
"IS1634-like element ISVa17 family transposase","A58797"
"IS1634 family transposase","A4722"
"IS1652 transposase","A57960"
"IS186/IS421 family transposase","A46941"
"IS2-like transposase","A59207"
"IS2 element protein","A47159"
"IS2 element protein InsA","A47158"
"IS2 insertion element protein InsB","A47865"
"IS2 insertion element repressor InsA","A47866"
"IS2 ORF2","A63480"
"IS2 transposase","A69864"
"IS2 transposase TnpB","A63163"
"IS200-like transposase","A65531"
"IS200 family transposase","A56679"
"IS200 transposase","A67061"
"IS200/IS605-like element IS1004 family transposase","A25302"
"IS200/IS605-like element IS1541A family transposase","A12763"
"IS200/IS605-like element IS1541B family transposase","A12757"
"IS200/IS605-like element IS1541C family transposase","A42921"
"IS200/IS605-like element IS1541D family transposase","A50965"
"IS200/IS605-like element IS200 family transposase","A38177"
"IS200/IS605-like element IS200C family transposase","A23515"
"IS200/IS605-like element IS200F family transposase","A18978"
"IS200/IS605-like element IS200S family transposase","A43137"
"IS200/IS605-like element IS605 family transposase","A59968"
"IS200/IS605-like element IS606 family transposase","A30963"
"IS200/IS605-like element IS609 family transposase","A6994"
"IS200/IS605-like element IS657 family transposase","A63991"
"IS200/IS605-like element ISAac1 family transposase","A31132"
"IS200/IS605-like element ISAba30 family transposase","A46318"
"IS200/IS605-like element ISAcma39 family transposase","A62552"
"IS200/IS605-like element ISAeme8 family transposase","A34362"
"IS200/IS605-like element ISAs26 family transposase","A31910"
"IS200/IS605-like element ISAsp20 family transposase","A62689"
"IS200/IS605-like element ISAsp6 family transposase","A62694"
"IS200/IS605-like element ISAzo20 family transposase","A61813"
"IS200/IS605-like element ISBce3 family transposase","A60491"
"IS200/IS605-like element ISBsph2 family transposase","A66552"
"IS200/IS605-like element ISBth16 family transposase","A18208"
"IS200/IS605-like element ISCaa10 family transposase","A57593"
"IS200/IS605-like element ISCbt1 family transposase","A57839"
"IS200/IS605-like element ISCbt2 family transposase","A56843"
"IS200/IS605-like element ISCco1 family transposase","A37667"
"IS200/IS605-like element ISClte2 family transposase","A56444"
"IS200/IS605-like element ISCpe2 family transposase","A40089"
"IS200/IS605-like element ISCsa5 family transposase","A34401"
"IS200/IS605-like element ISCth10 family transposase","A41117"
"IS200/IS605-like element ISCysp14 family transposase","A38589"
"IS200/IS605-like element ISDge10 family transposase","A61122"
"IS200/IS605-like element ISDha13 family transposase","A51654"
"IS200/IS605-like element ISDka2 family transposase","A52318"
"IS200/IS605-like element ISDra2 family transposase","A45028"
"IS200/IS605-like element ISDra9 family transposase","A45031"
"IS200/IS605-like element ISEc41 family transposase","A24640"
"IS200/IS605-like element ISEc46 family transposase","A23682"
"IS200/IS605-like element ISEfa4 family transposase","A17939"
"IS200/IS605-like element ISEha1 family transposase","A29848"
"IS200/IS605-like element ISEnfa200 family transposase","A37679"
"IS200/IS605-like element ISH1-8 family transposase","A35926"
"IS200/IS605-like element ISH22 family transposase","A35934"
"IS200/IS605-like element ISH34 family transposase","A35971"
"IS200/IS605-like element ISH35 family transposase","A35992"
"IS200/IS605-like element ISH36 family transposase","A37474"
"IS200/IS605-like element ISHal1 family transposase","A45722"
"IS200/IS605-like element ISHall1 family transposase","A71260"
"IS200/IS605-like element ISHbo4 family transposase","A57564"
"IS200/IS605-like element ISHbo5 family transposase","A70739"
"IS200/IS605-like element ISHhu1 family transposase","A57254"
"IS200/IS605-like element ISHhu2 family transposase","A57255"
"IS200/IS605-like element ISHhu3 family transposase","A51062"
"IS200/IS605-like element ISHje2 family transposase","A40903"
"IS200/IS605-like element ISHko3 family transposase","A51088"
"IS200/IS605-like element ISHla15 family transposase","A61875"
"IS200/IS605-like element ISHla16 family transposase","A50317"
"IS200/IS605-like element ISHla17 family transposase","A61877"
"IS200/IS605-like element ISHla19 family transposase","A61872"
"IS200/IS605-like element ISHla21 family transposase","A61879"
"IS200/IS605-like element ISHli11 family transposase","A50315"
"IS200/IS605-like element ISHma12 family transposase","A45085"
"IS200/IS605-like element ISHma17 family transposase","A45072"
"IS200/IS605-like element ISHma7 family transposase","A45065"
"IS200/IS605-like element ISHmu3 family transposase","A28856"
"IS200/IS605-like element ISHmu5 family transposase","A28846"
"IS200/IS605-like element ISHmu6 family transposase","A28849"
"IS200/IS605-like element ISHp608 family transposase","A46389"
"IS200/IS605-like element ISHru2 family transposase","A62088"
"IS200/IS605-like element ISHsi2 family transposase","A46693"
"IS200/IS605-like element ISHti1 family transposase","A57361"
"IS200/IS605-like element ISHvo18 family transposase","A45759"
"IS200/IS605-like element ISHwa17 family transposase","A66411"
"IS200/IS605-like element ISLjo5 family transposase","A35120"
"IS200/IS605-like element ISMac7 family transposase","A50516"
"IS200/IS605-like element ISMba16 family transposase","A60445"
"IS200/IS605-like element ISMba17 family transposase","A60453"
"IS200/IS605-like element ISMba18 family transposase","A60452"
"IS200/IS605-like element ISMco2 family transposase","A69432"
"IS200/IS605-like element ISMex34 family transposase","A43849"
"IS200/IS605-like element ISMma19 family transposase","A39244"
"IS200/IS605-like element ISMma21 family transposase","A37359"
"IS200/IS605-like element ISMma22 family transposase","A39242"
"IS200/IS605-like element ISMmu1 family transposase","A71205"
"IS200/IS605-like element ISNamo17 family transposase","A50215"
"IS200/IS605-like element ISNamo18 family transposase","A50192"
"IS200/IS605-like element ISNamo19 family transposase","A50187"
"IS200/IS605-like element ISNma12 family transposase","A44496"
"IS200/IS605-like element ISNph5 family transposase","A42208"
"IS200/IS605-like element ISNph6 family transposase","A61659"
"IS200/IS605-like element ISNph7 family transposase","A61661"
"IS200/IS605-like element ISNsp2 family transposase","A57319"
"IS200/IS605-like element ISNsp3 family transposase","A57320"
"IS200/IS605-like element ISOih2 family transposase","A43895"
"IS200/IS605-like element ISPin5 family transposase","A42665"
"IS200/IS605-like element ISPlu2 family transposase","A44892"
"IS200/IS605-like element ISPlu5 family transposase","A44883"
"IS200/IS605-like element ISPpr13 family transposase","A69405"
"IS200/IS605-like element ISSen6 family transposase","A27400"
"IS200/IS605-like element ISSep3 family transposase","A22439"
"IS200/IS605-like element ISSham1 family transposase","A35726"
"IS200/IS605-like element ISShes4 family transposase","A36637"
"IS200/IS605-like element ISShes8 family transposase","A24197"
"IS200/IS605-like element ISShwo2 family transposase","A62652"
"IS200/IS605-like element ISSoc10 family transposase","A64046"
"IS200/IS605-like element ISSoc3 family transposase","A57793"
"IS200/IS605-like element ISSoc6 family transposase","A57797"
"IS200/IS605-like element ISSod23 family transposase","A35624"
"IS200/IS605-like element ISSpn6 family transposase","A35307"
"IS200/IS605-like element ISSsu4 family transposase","A16806"
"IS200/IS605-like element ISSto1 family transposase","A36656"
"IS200/IS605-like element ISTac1 family transposase","A61269"
"IS200/IS605-like element ISTel2 family transposase","A62112"
"IS200/IS605-like element ISTfu1 family transposase","A62215"
"IS200/IS605-like element ISTsi3 family transposase","A46408"
"IS200/IS605-like element ISTvo5 family transposase","A56919"
"IS200/IS605-like element ISW1 family transposase","A59998"
"IS200/IS605 family element transposase accessory protein TnpB","A9123"
"IS200/IS605 family transposase","A3914"
"IS21-like element IS100 family transposase","A12753"
"IS21-like element IS1162 family transposase","A38117"
"IS21-like element IS1326 family transposase","A17736"
"IS21-like element IS1415 family transposase","A33961"
"IS21-like element IS1491 family transposase","A41880"
"IS21-like element IS1600 family transposase","A32244"
"IS21-like element IS1631 family transposase","A34331"
"IS21-like element IS21 family transposase","A7411"
"IS21-like element IS232 family transposase","A18160"
"IS21-like element IS408 family transposase","A37725"
"IS21-like element IS5376 family transposase","A27799"
"IS21-like element IS643 family transposase","A57689"
"IS21-like element IS712 family transposase","A21907"
"IS21-like element ISAar33 family transposase","A46527"
"IS21-like element ISAar36 family transposase","A46509"
"IS21-like element ISAar7 family transposase","A46495"
"IS21-like element ISAau2 family transposase","A55719"
"IS21-like element ISAav1 family transposase","A57116"
"IS21-like element ISAba8 family transposase","A33528"
"IS21-like element ISAcma26 family transposase","A62559"
"IS21-like element ISAcma38 family transposase","A62563"
"IS21-like element ISAcma50 family transposase","A62567"
"IS21-like element ISAeme17 family transposase","A41138"
"IS21-like element ISAfe9 family transposase","A41897"
"IS21-like element ISAisp6 family transposase","A51486"
"IS21-like element ISAli13 family transposase","A60166"
"IS21-like element ISAlsp1 family transposase","A60324"
"IS21-like element ISAnsp4 family transposase","A61325"
"IS21-like element ISAnsp5 family transposase","A61329"
"IS21-like element ISAs27 family transposase","A34368"
"IS21-like element ISAs28 family transposase","A52168"
"IS21-like element ISAs29 family transposase","A21378"
"IS21-like element ISAzo12 family transposase","A58753"
"IS21-like element ISAZo16 family transposase","A61809"
"IS21-like element ISAzo17 family transposase","A58754"
"IS21-like element ISAzo4 family transposase","A58747"
"IS21-like element ISAzs2 family transposase","A50885"
"IS21-like element ISAzs30 family transposase","A50915"
"IS21-like element ISBad1 family transposase","A41041"
"IS21-like element ISBce16 family transposase","A33068"
"IS21-like element ISBcen13 family transposase","A21461"
"IS21-like element ISBcen28 family transposase","A37478"
"IS21-like element ISBf1 family transposase","A44323"
"IS21-like element ISBf2 family transposase","A44321"
"IS21-like element ISBj11 family transposase","A41158"
"IS21-like element ISBlo1 family transposase","A37970"
"IS21-like element ISBlo2 family transposase","A37969"
"IS21-like element ISBmu3 family transposase","A24888"
"IS21-like element ISCARN89 family transposase","A46894"
"IS21-like element ISCbe3 family transposase","A43775"
"IS21-like element ISCbo2 family transposase","A52494"
"IS21-like element ISCfr8 family transposase","A31742"
"IS21-like element ISChy4 family transposase","A50573"
"IS21-like element ISCsa9 family transposase","A38566"
"IS21-like element ISCsp4 family transposase","A36201"
"IS21-like element ISCth12 family transposase","A41546"
"IS21-like element ISCth15 family transposase","A41553"
"IS21-like element ISCth9 family transposase","A41550"
"IS21-like element ISEc10 family transposase","A19917"
"IS21-like element ISEc12 family transposase","A7277"
"IS21-like element ISEc57 family transposase","A25519"
"IS21-like element ISEc62 family transposase","A29550"
"IS21-like element ISFK1 family transposase","A34342"
"IS21-like element ISFlsp1 family transposase","A56334"
"IS21-like element ISGau7 family transposase","A60564"
"IS21-like element ISGdi17 family transposase","A61491"
"IS21-like element ISGme4 family transposase","A71433"
"IS21-like element ISGsu6 family transposase","A38131"
"IS21-like element ISGur15 family transposase","A70994"
"IS21-like element ISGur8 family transposase","A70977"
"IS21-like element ISGur9 family transposase","A70984"
"IS21-like element ISIde2 family transposase","A30994"
"IS21-like element ISJsp3 family transposase","A69442"
"IS21-like element ISKol1 family transposase","A45044"
"IS21-like element ISKol10 family transposase","A45054"
"IS21-like element ISKol3 family transposase","A45061"
"IS21-like element ISKpn7 family transposase","A55822"
"IS21-like element ISLpn12 family transposase","A35444"
"IS21-like element ISLxx3 family transposase","A70809"
"IS21-like element ISMac3 family transposase","A50514"
"IS21-like element ISMac9 family transposase","A50524"
"IS21-like element ISMav1 family transposase","A13906"
"IS21-like element ISMbo1 family transposase","A4496"
"IS21-like element ISMdi27 family transposase","A30254"
"IS21-like element ISMdi7 family transposase","A30243"
"IS21-like element ISMex13 family transposase","A43833"
"IS21-like element ISMex27 family transposase","A43843"
"IS21-like element ISMex39 family transposase","A43830"
"IS21-like element ISMex8 family transposase","A43842"
"IS21-like element ISMlu14 family transposase","A57729"
"IS21-like element ISMsi1 family transposase","A64075"
"IS21-like element ISMt2 family transposase","A4720"
"IS21-like element ISMtsp8 family transposase","A50812"
"IS21-like element ISPa36 family transposase","A23972"
"IS21-like element ISPa64 family transposase","A50679"
"IS21-like element ISPepr5 family transposase","A38304"
"IS21-like element ISPlge2 family transposase","A44995"
"IS21-like element ISPman1 family transposase","A46615"
"IS21-like element ISPpn1 family transposase","A43047"
"IS21-like element ISPpu23 family transposase","A40701"
"IS21-like element ISPpu27 family transposase","A50161"
"IS21-like element ISPpu7 family transposase","A27026"
"IS21-like element ISPre4 family transposase","A38119"
"IS21-like element ISPst3 family transposase","A14219"
"IS21-like element ISPsy14 family transposase","A28030"
"IS21-like element ISPsy20 family transposase","A32096"
"IS21-like element ISPsy4 family transposase","A32655"
"IS21-like element ISPsy40 family transposase","A32112"
"IS21-like element ISPsy41 family transposase","A46193"
"IS21-like element ISPve1 family transposase","A38753"
"IS21-like element ISRel16 family transposase","A36907"
"IS21-like element ISRel5 family transposase","A36913"
"IS21-like element ISRm9 family transposase","A35231"
"IS21-like element ISRme20 family transposase","A37722"
"IS21-like element ISRme9 family transposase","A39264"
"IS21-like element ISRso19 family transposase","A64150"
"IS21-like element ISRso6 family transposase","A50628"
"IS21-like element ISRsp2 family transposase","A56988"
"IS21-like element ISRsp3 family transposase","A38691"
"IS21-like element ISSba11 family transposase","A29626"
"IS21-like element ISSba20 family transposase","A50154"
"IS21-like element ISSen3 family transposase","A14210"
"IS21-like element ISSen8 family transposase","A30908"
"IS21-like element ISShfr5 family transposase","A38741"
"IS21-like element ISSme2 family transposase","A50431"
"IS21-like element ISSoEn3 family transposase","A64055"
"IS21-like element ISSpu15 family transposase","A45897"
"IS21-like element ISSpu5 family transposase","A57295"
"IS21-like element ISSso4 family transposase","A7455"
"IS21-like element ISSsp4 family transposase","A71375"
"IS21-like element ISSsp5 family transposase","A58529"
"IS21-like element ISVch3 family transposase","A43857"
"IS21-like element ISXci1 family transposase","A34372"
"IS21-like element ISYen2A family transposase","A38074"
"IS21-like element ISYru1 family transposase","A41995"
"IS21 family transposase","A2488"
"IS21 family transposase ISLxx1","A70806"
"IS21 ORF2","A63817"
"IS256-like element IS1081 family transposase","A3918"
"IS256-like element IS1090 family transposase","A50957"
"IS256-like element IS1113 family transposase","A18047"
"IS256-like element IS1132 family transposase","A35413"
"IS256-like element IS1164 family transposase","A44659"
"IS256-like element IS1191 family transposase","A23841"
"IS256-like element IS1201 family transposase","A31268"
"IS256-like element IS1245 family transposase","A13908"
"IS256-like element IS1249 family transposase","A31352"
"IS256-like element IS1310 family transposase","A32189"
"IS256-like element IS1311 family transposase","A13909"
"IS256-like element IS1354 family transposase","A30234"
"IS256-like element IS1356 family transposase","A21436"
"IS256-like element IS1414 family transposase","A22626"
"IS256-like element IS1512 family transposase","A36111"
"IS256-like element IS1542 family transposase","A17883"
"IS256-like element IS1553 family transposase","A4783"
"IS256-like element IS1554 family transposase","A4585"
"IS256-like element IS16 family transposase","A17893"
"IS256-like element IS1601 family transposase","A26847"
"IS256-like element IS256 family transposase","A17947"
"IS256-like element IS2606 family transposase","A37350"
"IS256-like element IS285 family transposase","A64251"
"IS256-like element IS3503 family transposase","A31348"
"IS256-like element IS3506 family transposase","A37437"
"IS256-like element IS3507 family transposase","A43004"
"IS256-like element IS3509 family transposase","A37439"
"IS256-like element IS406 family transposase","A26611"
"IS256-like element IS6120 family transposase","A61751"
"IS256-like element IS654 family transposase","A57690"
"IS256-like element IS666 family transposase","A13912"
"IS256-like element IS905 family transposase","A21888"
"IS256-like element IS931 family transposase","A56330"
"IS256-like element ISAar5 family transposase","A46490"
"IS256-like element ISAar6 family transposase","A46516"
"IS256-like element ISAba26 family transposase","A24607"
"IS256-like element ISAcma7 family transposase","A62523"
"IS256-like element ISAde5 family transposase","A55503"
"IS256-like element ISAeme25 family transposase","A38421"
"IS256-like element ISAfe2 family transposase","A41892"
"IS256-like element ISAli6 family transposase","A60163"
"IS256-like element ISAli7 family transposase","A50919"
"IS256-like element ISAmas1 family transposase","A55696"
"IS256-like element ISAnsp14 family transposase","A29588"
"IS256-like element ISArsp4 family transposase","A62259"
"IS256-like element ISAs3 family transposase","A21687"
"IS256-like element ISAzo34 family transposase","A61833"
"IS256-like element ISAzs19 family transposase","A50924"
"IS256-like element ISBame1 family transposase","A35394"
"IS256-like element ISBast1 family transposase","A34157"
"IS256-like element ISBcen18 family transposase","A21477"
"IS256-like element ISBibr1 family transposase","A26511"
"IS256-like element ISBith1 family transposase","A57475"
"IS256-like element ISBli2 family transposase","A43178"
"IS256-like element ISBlo16 family transposase","A33584"
"IS256-like element ISBlo17 family transposase","A39305"
"IS256-like element ISBlo5 family transposase","A42467"
"IS256-like element ISBlo8 family transposase","A36228"
"IS256-like element ISBsa1 family transposase","A50478"
"IS256-like element ISBsu2 family transposase","A27608"
"IS256-like element ISC1250 family transposase","A39696"
"IS256-like element ISC1257 family transposase","A39700"
"IS256-like element ISC1332 family transposase","A46402"
"IS256-like element ISCau1 family transposase","A62232"
"IS256-like element ISCbe6 family transposase","A43776"
"IS256-like element ISCbo4 family transposase","A64245"
"IS256-like element ISCce2 family transposase","A71048"
"IS256-like element ISCcl1 family transposase","A59972"
"IS256-like element ISCge1 family transposase","A63956"
"IS256-like element ISCni1 family transposase","A60198"
"IS256-like element ISCoam1 family transposase","A42672"
"IS256-like element ISCob1 family transposase","A52187"
"IS256-like element ISCod2 family transposase","A37963"
"IS256-like element ISCpe3 family transposase","A43138"
"IS256-like element ISCre1 family transposase","A42875"
"IS256-like element ISCre2 family transposase","A43284"
"IS256-like element ISCsa2 family transposase","A28504"
"IS256-like element ISCth4 family transposase","A41113"
"IS256-like element ISCth5 family transposase","A41118"
"IS256-like element ISCur2 family transposase","A31344"
"IS256-like element ISCur3 family transposase","A40762"
"IS256-like element ISDet4 family transposase","A62618"
"IS256-like element ISDha1 family transposase","A51649"
"IS256-like element ISEae1 family transposase","A44186"
"IS256-like element ISEc39 family transposase","A24643"
"IS256-like element ISEc58 family transposase","A20190"
"IS256-like element ISEf1 family transposase","A17908"
"IS256-like element ISEfa13 family transposase","A26770"
"IS256-like element ISEfm2 family transposase","A17891"
"IS256-like element ISEic2 family transposase","A29300"
"IS256-like element ISEle1 family transposase","A34756"
"IS256-like element ISEnfa4 family transposase","A42227"
"IS256-like element ISFac7 family transposase","A61236"
"IS256-like element ISFac8 family transposase","A64191"
"IS256-like element ISGdi8 family transposase","A61484"
"IS256-like element ISGpo1 family transposase","A45137"
"IS256-like element ISGsi1 family transposase","A71035"
"IS256-like element ISGte1 family transposase","A41136"
"IS256-like element ISGva1 family transposase","A45773"
"IS256-like element ISGva2 family transposase","A36641"
"IS256-like element ISKol2 family transposase","A45058"
"IS256-like element ISKol5 family transposase","A45047"
"IS256-like element ISLdl2 family transposase","A26564"
"IS256-like element ISLgar5 family transposase","A17869"
"IS256-like element ISMama1 family transposase","A63951"
"IS256-like element ISMaq7 family transposase","A51569"
"IS256-like element ISMbu6 family transposase","A41841"
"IS256-like element ISMca5 family transposase","A49994"
"IS256-like element ISMco4 family transposase","A69430"
"IS256-like element ISMco5 family transposase","A69426"
"IS256-like element ISMdi13 family transposase","A30239"
"IS256-like element ISMex14 family transposase","A37918"
"IS256-like element ISMex3 family transposase","A30249"
"IS256-like element ISMgi5 family transposase","A40102"
"IS256-like element ISMlu1 family transposase","A57728"
"IS256-like element ISMlu11 family transposase","A39260"
"IS256-like element ISMma16 family transposase","A37361"
"IS256-like element ISMra3 family transposase","A60282"
"IS256-like element ISMtsp13 family transposase","A50805"
"IS256-like element ISMtu1 family transposase","A61254"
"IS256-like element ISMva4 family transposase","A62778"
"IS256-like element ISMyo1 family transposase","A35878"
"IS256-like element ISMysp7 family transposase","A13939"
"IS256-like element ISNGR8 family transposase","A58590"
"IS256-like element ISNha10 family transposase","A61517"
"IS256-like element ISNha9 family transposase","A61511"
"IS256-like element ISNml4 family transposase","A64960"
"IS256-like element ISOan3 family transposase","A66359"
"IS256-like element ISOan5 family transposase","A46074"
"IS256-like element ISOan6 family transposase","A66357"
"IS256-like element ISOan7 family transposase","A66367"
"IS256-like element ISOan8 family transposase","A46072"
"IS256-like element ISOan9 family transposase","A66360"
"IS256-like element ISPa1328 family transposase","A35360"
"IS256-like element ISPa46 family transposase","A33154"
"IS256-like element ISPaac1 family transposase","A71489"
"IS256-like element ISPaes3 family transposase","A64120"
"IS256-like element ISPpa1 family transposase","A46549"
"IS256-like element ISPsy17 family transposase","A35095"
"IS256-like element ISRba9 family transposase","A42053"
"IS256-like element ISRer3 family transposase","A34861"
"IS256-like element ISRhru4 family transposase","A57939"
"IS256-like element ISRjo4 family transposase","A64302"
"IS256-like element ISRle12 family transposase","A66282"
"IS256-like element ISRm3 family transposase","A35235"
"IS256-like element ISRm5 family transposase","A35232"
"IS256-like element ISRso7 family transposase","A50630"
"IS256-like element ISSag11 family transposase","A36785"
"IS256-like element ISSba12 family transposase","A36421"
"IS256-like element ISSba9 family transposase","A44676"
"IS256-like element ISSde5 family transposase","A45250"
"IS256-like element ISSdy3 family transposase","A30440"
"IS256-like element ISSer2 family transposase","A51437"
"IS256-like element ISSin1 family transposase","A51272"
"IS256-like element ISSlgl1 family transposase","A46553"
"IS256-like element ISSod18 family transposase","A36383"
"IS256-like element ISSod4 family transposase","A36375"
"IS256-like element ISSod5 family transposase","A29641"
"IS256-like element ISSoEn2 family transposase","A64052"
"IS256-like element ISSpma2 family transposase","A10924"
"IS256-like element ISSpwi2 family transposase","A56332"
"IS256-like element ISThth1 family transposase","A57868"
"IS256-like element ISTth4 family transposase","A23189"
"IS256-like element ISTth5 family transposase","A41921"
"IS256-like element ISTwi1 family transposase","A46202"
"IS256-like element ISVa19 family transposase","A43858"
"IS256-like element ISVat1 family transposase","A60760"
"IS256-like element ISVesp1 family transposase","A39985"
"IS256-like element ISWch2 family transposase","A60307"
"IS256-like element ISWpi15 family transposase","A35387"
"IS256-like element ISXax1 family transposase","A27906"
"IS256 family transposase","A4723"
"IS256 family transposase IS16","A45483"
"IS256 family transposase IS256","A42809"
"IS256 family transposase ISEf1","A45452"
"IS3-like element IS-LL6 family transposase","A33871"
"IS3-like element IS1068 family transposase","A41732"
"IS3-like element IS1087B family transposase","A39269"
"IS3-like element IS1133 family transposase","A17784"
"IS3-like element IS1138B family transposase","A45768"
"IS3-like element IS1163 family transposase","A8760"
"IS3-like element IS120 family transposase","A41114"
"IS3-like element IS1203 family transposase","A6969"
"IS3-like element IS1206 family transposase","A24326"
"IS3-like element IS1223 family transposase","A35119"
"IS3-like element IS1230B family transposase","A28017"
"IS3-like element IS1236 family transposase","A35523"
"IS3-like element IS1240 family transposase","A32663"
"IS3-like element IS1296 family transposase","A27048"
"IS3-like element IS1302 family transposase","A40132"
"IS3-like element IS1351 family transposase","A18287"
"IS3-like element IS1353 family transposase","A42316"
"IS3-like element IS1389-B family transposase","A61146"
"IS3-like element IS1389 family transposase","A36254"
"IS3-like element IS1397 family transposase","A24057"
"IS3-like element IS1400 family transposase","A64063"
"IS3-like element IS1403 family transposase","A32861"
"IS3-like element IS1404 family transposase","A20210"
"IS3-like element IS1416 family transposase","A24895"
"IS3-like element IS1417 family transposase","A24887"
"IS3-like element IS1485 family transposase","A22795"
"IS3-like element IS150 family transposase","A20145"
"IS3-like element IS1500A family transposase","A35343"
"IS3-like element IS1500B family transposase","A35330"
"IS3-like element IS1501 family transposase","A35331"
"IS3-like element IS1520 family transposase","A8881"
"IS3-like element IS1661 family transposase","A12795"
"IS3-like element IS1664 family transposase","A43141"
"IS3-like element IS1953 family transposase","A33415"
"IS3-like element IS2 family transposase","A5864"
"IS3-like element IS222 family transposase","A19416"
"IS3-like element IS3 family transposase","A14320"
"IS3-like element IS3411 family transposase","A37170"
"IS3-like element IS3501 family transposase","A62644"
"IS3-like element IS3502 family transposase","A31349"
"IS3-like element IS3F family transposase","A36246"
"IS3-like element IS3H family transposase","A29175"
"IS3-like element IS401 family transposase","A51586"
"IS3-like element IS407 family transposase","A21404"
"IS3-like element IS426 family transposase","A37952"
"IS3-like element IS476 family transposase","A20223"
"IS3-like element IS51 family transposase","A25437"
"IS3-like element IS511 family transposase","A40558"
"IS3-like element IS600 family transposase","A7421"
"IS3-like element IS629 family transposase","A24051"
"IS3-like element IS655 family transposase","A57688"
"IS3-like element IS861 family transposase","A23075"
"IS3-like element IS911 family transposase","A7401"
"IS3-like element IS981 family transposase","A21261"
"IS3-like element IS987 family transposase","A3585"
"IS3-like element IS999 family transposase","A60348"
"IS3-like element ISAar24 family transposase","A46519"
"IS3-like element ISAar25 family transposase","A46517"
"IS3-like element ISAar26 family transposase","A46512"
"IS3-like element ISAar3 family transposase","A39890"
"IS3-like element ISAar37 family transposase","A46485"
"IS3-like element ISAar4 family transposase","A46510"
"IS3-like element ISAar40 family transposase","A46522"
"IS3-like element ISAar43 family transposase","A41206"
"IS3-like element ISAar44 family transposase","A46484"
"IS3-like element ISAar45 family transposase","A46504"
"IS3-like element ISAar46 family transposase","A46503"
"IS3-like element ISAav4 family transposase","A37926"
"IS3-like element ISAba14 family transposase","A24382"
"IS3-like element ISAba18 family transposase","A40617"
"IS3-like element ISAba19 family transposase","A27306"
"IS3-like element ISAba2 family transposase","A25218"
"IS3-like element ISAba20 family transposase","A38104"
"IS3-like element ISAba21 family transposase","A30979"
"IS3-like element ISAba22 family transposase","A20475"
"IS3-like element ISAba29 family transposase","A50703"
"IS3-like element ISAba34 family transposase","A29798"
"IS3-like element ISAba45 family transposase","A42737"
"IS3-like element ISAbo1 family transposase","A58898"
"IS3-like element ISAca1 family transposase","A61753"
"IS3-like element ISAcl2 family transposase","A60208"
"IS3-like element ISAcma13 family transposase","A62522"
"IS3-like element ISAcsp5 family transposase","A33449"
"IS3-like element ISAde3 family transposase","A55504"
"IS3-like element ISAde4 family transposase","A55505"
"IS3-like element ISAeca4 family transposase","A41139"
"IS3-like element ISAeme20 family transposase","A21315"
"IS3-like element ISAeme6 family transposase","A51345"
"IS3-like element ISAfe17 family transposase","A46216"
"IS3-like element ISAfe7 family transposase","A26703"
"IS3-like element ISAlg family transposase","A45196"
"IS3-like element ISAli4 family transposase","A60160"
"IS3-like element ISAli5 family transposase","A60164"
"IS3-like element ISAma1 family transposase","A41949"
"IS3-like element ISAma2 family transposase","A61387"
"IS3-like element ISAnsp11 family transposase","A29607"
"IS3-like element ISAnsp8 family transposase","A61330"
"IS3-like element ISApl2 family transposase","A51409"
"IS3-like element ISApl3 family transposase","A31427"
"IS3-like element ISAs17 family transposase","A46457"
"IS3-like element ISAs20 family transposase","A29526"
"IS3-like element ISAs22 family transposase","A21318"
"IS3-like element ISAs31 family transposase","A42373"
"IS3-like element ISAs32 family transposase","A21693"
"IS3-like element ISAs33 family transposase","A21707"
"IS3-like element ISAs5 family transposase","A21678"
"IS3-like element ISAs6 family transposase","A21688"
"IS3-like element ISAs9 family transposase","A21354"
"IS3-like element ISAtu3 family transposase","A37945"
"IS3-like element ISAtu4 family transposase","A43530"
"IS3-like element ISAtu5 family transposase","A37953"
"IS3-like element ISAve3 family transposase","A57754"
"IS3-like element ISAve4 family transposase","A57753"
"IS3-like element ISAzo10 family transposase","A58748"
"IS3-like element ISAzo18 family transposase","A58751"
"IS3-like element ISAzs23 family transposase","A50912"
"IS3-like element ISAzs24 family transposase","A50905"
"IS3-like element ISAzs33 family transposase","A50922"
"IS3-like element ISAzvi9 family transposase","A45337"
"IS3-like element ISBam1 family transposase","A56452"
"IS3-like element ISBam2 family transposase","A38098"
"IS3-like element ISBce13 family transposase","A25017"
"IS3-like element ISBce14 family transposase","A51858"
"IS3-like element ISBce15 family transposase","A26042"
"IS3-like element ISBce18 family transposase","A38782"
"IS3-like element ISBce19 family transposase","A36798"
"IS3-like element ISBcen10 family transposase","A21413"
"IS3-like element ISBcen15 family transposase","A21460"
"IS3-like element ISBcen16 family transposase","A21479"
"IS3-like element ISBcen17 family transposase","A21478"
"IS3-like element ISBcen21 family transposase","A37477"
"IS3-like element ISBcen22 family transposase","A37479"
"IS3-like element ISBcen23 family transposase","A40940"
"IS3-like element ISBcen6 family transposase","A21551"
