"Product","product_map"
"IS110-like element IS5708 family transposase","A32788"
"IS110-like element IS621 family transposase","A14339"
"IS110-like element IS650 family transposase","A63998"
"IS110-like element IS653 family transposase","A63993"
"IS110-like element IS884 family transposase","A42114"
"IS110-like element IS901 family transposase","A38602"
"IS110-like element ISAar16 family transposase","A46492"
"IS110-like element ISAar17 family transposase","A46514"
"IS110-like element ISAar18 family transposase","A46513"
"IS110-like element ISAar2 family transposase","A46497"
"IS110-like element ISAar29 family transposase","A46511"
"IS110-like element ISAar41 family transposase","A46521"
"IS110-like element ISAeca3 family transposase","A34369"
"IS110-like element ISAfe1 family transposase","A41893"
"IS110-like element ISAfe3 family transposase","A41885"
"IS110-like element ISAisp4 family transposase","A27041"
"IS110-like element ISAli16 family transposase","A60170"
"IS110-like element ISAli8 family transposase","A60162"
"IS110-like element ISArsp3 family transposase","A41562"
"IS110-like element ISArsp5 family transposase","A62257"
"IS110-like element ISAs16 family transposase","A31913"
"IS110-like element ISAs24 family transposase","A43339"
"IS110-like element ISAtu1 family transposase","A43533"
"IS110-like element ISAtu7 family transposase","A57243"
"IS110-like element ISAve1 family transposase","A57751"
"IS110-like element ISAzo22 family transposase","A58759"
"IS110-like element ISAzo28 family transposase","A58760"
"IS110-like element ISAzs32 family transposase","A50914"
"IS110-like element ISAzs35 family transposase","A50904"
"IS110-like element ISAzs4 family transposase","A50916"
"IS110-like element ISAzvi12 family transposase","A45349"
"IS110-like element ISAzvi2 family transposase","A45336"
"IS110-like element ISAzvi3 family transposase","A45342"
"IS110-like element ISAzvi4 family transposase","A45338"
"IS110-like element ISBcen1 family transposase","A21497"
"IS110-like element ISBcen2 family transposase","A21552"
"IS110-like element ISBcen3 family transposase","A21503"
"IS110-like element ISBcen4 family transposase","A21550"
"IS110-like element ISBcen5 family transposase","A21399"
"IS110-like element ISBcen8 family transposase","A21433"
"IS110-like element ISBfun1 family transposase","A62352"
"IS110-like element ISBfun2 family transposase","A60041"
"IS110-like element ISBj4 family transposase","A34337"
"IS110-like element ISBma3 family transposase","A22150"
"IS110-like element ISBth13 family transposase","A18171"
"IS110-like element ISBth166 family transposase","A18150"
"IS110-like element ISC1190 family transposase","A39682"
"IS110-like element ISC1228 family transposase","A39698"
"IS110-like element ISC1229 family transposase","A39703"
"IS110-like element ISCaa14 family transposase","A57596"
"IS110-like element ISCaa7 family transposase","A57586"
"IS110-like element ISCc2 family transposase","A40560"
"IS110-like element ISCc4 family transposase","A40598"
"IS110-like element ISChy1 family transposase","A50571"
"IS110-like element ISChy2 family transposase","A50577"
"IS110-like element ISCps1 family transposase","A51794"
"IS110-like element ISCps4 family transposase","A51797"
"IS110-like element ISCps5 family transposase","A51803"
"IS110-like element ISCps7 family transposase","A51801"
"IS110-like element ISCps8 family transposase","A51799"
"IS110-like element ISCro4 family transposase","A56321"
"IS110-like element ISCro5 family transposase","A43706"
"IS110-like element ISCsa3 family transposase","A38570"
"IS110-like element ISCsa4 family transposase","A38569"
"IS110-like element ISCth14 family transposase","A41552"
"IS110-like element ISCth6 family transposase","A41549"
"IS110-like element ISCth7 family transposase","A41547"
"IS110-like element ISCth8 family transposase","A41548"
"IS110-like element ISDha10 family transposase","A51657"
"IS110-like element ISDha12 family transposase","A51647"
"IS110-like element ISEc11 family transposase","A7417"
"IS110-like element ISEc20 family transposase","A7442"
"IS110-like element ISEc21 family transposase","A23688"
"IS110-like element ISEc32 family transposase","A27952"
"IS110-like element ISEc45 family transposase","A22625"
"IS110-like element ISEc66 family transposase","A37967"
"IS110-like element ISEch3 family transposase","A33043"
"IS110-like element ISEch4 family transposase","A33041"
"IS110-like element ISEnfa110 family transposase","A26771"
"IS110-like element ISEsa2 family transposase","A31434"
"IS110-like element ISFac9 family transposase","A64197"
"IS110-like element ISFnu3 family transposase","A41475"
"IS110-like element ISFnu4 family transposase","A44551"
"IS110-like element ISGdi15 family transposase","A61490"
"IS110-like element ISGdi7 family transposase","A61496"
"IS110-like element ISGka2 family transposase","A26934"
"IS110-like element ISGme8 family transposase","A71430"
"IS110-like element ISGsu4 family transposase","A38133"
"IS110-like element ISHaha5 family transposase","A55513"
"IS110-like element ISHar3 family transposase","A50663"
"IS110-like element ISHar6 family transposase","A50664"
"IS110-like element ISHne3 family transposase","A61967"
"IS110-like element ISHne4 family transposase","A61969"
"IS110-like element ISHne5 family transposase","A61972"
"IS110-like element ISHvo10 family transposase","A45761"
"IS110-like element ISHvo9 family transposase","A45714"
"IS110-like element ISKol6 family transposase","A45049"
"IS110-like element ISKpn2 family transposase","A31540"
"IS110-like element ISKpn4 family transposase","A39400"
"IS110-like element ISL4 family transposase","A26558"
"IS110-like element ISLhe4 family transposase","A31275"
"IS110-like element ISLin1 family transposase","A40008"
"IS110-like element ISLxx2 family transposase","A70807"
"IS110-like element ISMac14 family transposase","A50538"
"IS110-like element ISMae40 family transposase","A30489"
"IS110-like element ISMav6 family transposase","A36616"
"IS110-like element ISMba20 family transposase","A60465"
"IS110-like element ISMba7 family transposase","A60466"
"IS110-like element ISMch4 family transposase","A31392"
"IS110-like element ISMch6 family transposase","A43015"
"IS110-like element ISMdi10 family transposase","A30220"
"IS110-like element ISMdi12 family transposase","A30221"
"IS110-like element ISMdi14 family transposase","A30219"
"IS110-like element ISMdi14B family transposase","A30213"
"IS110-like element ISMdi9 family transposase","A30222"
"IS110-like element ISMex12 family transposase","A43021"
"IS110-like element ISMex17 family transposase","A30205"
"IS110-like element ISMex29 family transposase","A30260"
"IS110-like element ISMex31 family transposase","A30217"
"IS110-like element ISMex9 family transposase","A37833"
"IS110-like element ISMlo1 family transposase","A32280"
"IS110-like element ISMlo2 family transposase","A32278"
"IS110-like element ISMlo3 family transposase","A32279"
"IS110-like element ISMma5 family transposase","A37354"
"IS110-like element ISMmg1 family transposase","A51736"
"IS110-like element ISMmg2 family transposase","A30953"
"IS110-like element ISMno14 family transposase","A66498"
"IS110-like element ISMno16 family transposase","A66496"
"IS110-like element ISMno20 family transposase","A66527"
"IS110-like element ISMno22 family transposase","A66500"
"IS110-like element ISMno25 family transposase","A66514"
"IS110-like element ISMno26 family transposase","A66517"
"IS110-like element ISMno29 family transposase","A66497"
"IS110-like element ISMno7 family transposase","A66509"
"IS110-like element ISMpa1 family transposase","A34478"
"IS110-like element ISMpo4 family transposase","A60755"
"IS110-like element ISMtsp17 family transposase","A50819"
"IS110-like element ISMtsp6 family transposase","A50809"
"IS110-like element ISMtsp7 family transposase","A50810"
"IS110-like element ISMtsp9 family transposase","A50815"
"IS110-like element ISMysp1 family transposase","A46367"
"IS110-like element ISNgo2 family transposase","A35540"
"IS110-like element ISNgo3 family transposase","A22783"
"IS110-like element ISNme5 family transposase","A29573"
"IS110-like element ISOt5 family transposase","A51663"
"IS110-like element ISPa11 family transposase","A19461"
"IS110-like element ISPa25 family transposase","A44169"
"IS110-like element ISPa49 family transposase","A70936"
"IS110-like element ISPa55 family transposase","A57426"
"IS110-like element ISPa62 family transposase","A35354"
"IS110-like element ISPa71 family transposase","A43555"
"IS110-like element ISPath1 family transposase","A50959"
"IS110-like element ISPfl1 family transposase","A51179"
"IS110-like element ISPlu13 family transposase","A44891"
"IS110-like element ISPpr8 family transposase","A69400"
"IS110-like element ISPpu10 family transposase","A28289"
"IS110-like element ISPpu11 family transposase","A28288"
"IS110-like element ISPpu24 family transposase","A62774"
"IS110-like element ISPpu9 family transposase","A28291"
"IS110-like element ISPst6 family transposase","A39655"
"IS110-like element ISPsy16 family transposase","A35104"
"IS110-like element ISPsy35 family transposase","A46189"
"IS110-like element ISPsy7 family transposase","A44119"
"IS110-like element ISPtu2 family transposase","A57649"
"IS110-like element ISRel25 family transposase","A45627"
"IS110-like element ISRel7 family transposase","A66456"
"IS110-like element ISRel9 family transposase","A37570"
"IS110-like element ISRfsp2 family transposase","A55108"
"IS110-like element ISRhosp7 family transposase","A64303"
"IS110-like element ISRhosp8 family transposase","A64307"
"IS110-like element ISRhru3 family transposase","A57928"
"IS110-like element ISRle1 family transposase","A50853"
"IS110-like element ISRsp4 family transposase","A58589"
"IS110-like element ISSaen1 family transposase","A28018"
"IS110-like element ISSam1 family transposase","A62032"
"IS110-like element ISSba19 family transposase","A35623"
"IS110-like element ISSba8 family transposase","A37447"
"IS110-like element ISSde11 family transposase","A45248"
"IS110-like element ISSde13 family transposase","A45257"
"IS110-like element ISSde14 family transposase","A45266"
"IS110-like element ISSde4 family transposase","A45254"
"IS110-like element ISSep2 family transposase","A22430"
"IS110-like element ISSer1 family transposase","A51440"
"IS110-like element ISSfl4 family transposase","A34425"
"IS110-like element ISSfl8 family transposase","A34583"
"IS110-like element ISSfr2 family transposase","A57180"
"IS110-like element ISSgr1 family transposase","A49945"
"IS110-like element ISShdy1 family transposase","A26088"
"IS110-like element ISShes7 family transposase","A66324"
"IS110-like element ISShfr3 family transposase","A38737"
"IS110-like element ISShfr7 family transposase","A38740"
"IS110-like element ISShsp1 family transposase","A42826"
"IS110-like element ISShwo3 family transposase","A62651"
"IS110-like element ISShwo5 family transposase","A62653"
"IS110-like element ISSlo1 family transposase","A60349"
"IS110-like element ISSm1 family transposase","A62725"
"IS110-like element ISSm3 family transposase","A38855"
"IS110-like element ISSod14 family transposase","A36415"
"IS110-like element ISSod19 family transposase","A36404"
"IS110-like element ISSod21 family transposase","A36424"
"IS110-like element ISSpe2 family transposase","A50557"
"IS110-like element ISSpe4 family transposase","A50558"
"IS110-like element ISSpi2 family transposase","A62290"
"IS110-like element ISSpi3 family transposase","A62289"
"IS110-like element ISSpi5 family transposase","A41517"
"IS110-like element ISSpi6 family transposase","A62291"
"IS110-like element ISSpn10 family transposase","A50424"
"IS110-like element ISSpo1 family transposase","A35791"
"IS110-like element ISSpu22 family transposase","A39417"
"IS110-like element ISSso6 family transposase","A7405"
"IS110-like element ISSsu7 family transposase","A41395"
"IS110-like element ISStma4 family transposase","A33859"
"IS110-like element ISStma6 family transposase","A20584"
"IS110-like element ISStma7 family transposase","A33849"
"IS110-like element ISStma8 family transposase","A60493"
"IS110-like element ISSto4 family transposase","A36662"
"IS110-like element ISSto5 family transposase","A36668"
"IS110-like element ISSto6 family transposase","A36671"
"IS110-like element ISVisp2 family transposase","A31918"
"IS110-like element ISVisp6 family transposase","A28985"
"IS110-like element ISVpa1 family transposase","A45888"
"IS110-like element ISWen2 family transposase","A44178"
"IS110-like element ISWpi12 family transposase","A46471"
"IS110-like element ISWpi13 family transposase","A57681"
"IS110-like element ISWpi14 family transposase","A34902"
"IS110-like element ISYen1 family transposase","A38069"
"IS110 element transposase-like pilin switch DNA invertase Piv","A23229"
"IS110 family transposase","A755"
"IS110 family transposase IS1111A","A55155"
"IS110 family transposase IS621","A43395"
"IS110 family transposase ISEc32","A43493"
"IS110 transposase","A58485"
"IS110 transposase/integrase","A58416"
"IS117 transposase","A58417"
"IS1182-like element IS1182 family transposase","A29520"
"IS1182-like element IS1563 family transposase","A23074"
"IS1182-like element IS656 family transposase","A57687"
"IS1182-like element IS660 family transposase","A57692"
"IS1182-like element IS662 family transposase","A57695"
"IS1182-like element IS663 family transposase","A57691"
"IS1182-like element ISAcfe1 family transposase","A69358"
"IS1182-like element ISAcfe2 family transposase","A69356"
"IS1182-like element ISAcma46 family transposase","A62571"
"IS1182-like element ISAde2 family transposase","A55500"
"IS1182-like element ISAmde1 family transposase","A57345"
"IS1182-like element ISAme2 family transposase","A56886"
"IS1182-like element ISAnsp1 family transposase","A61327"
"IS1182-like element ISAnsp6 family transposase","A61328"
"IS1182-like element ISAzch1 family transposase","A56407"
"IS1182-like element ISAzo1 family transposase","A58750"
"IS1182-like element ISAzo2 family transposase","A61830"
"IS1182-like element ISBas1 family transposase","A60176"
"IS1182-like element ISBce1 family transposase","A31616"
"IS1182-like element ISBcl1 family transposase","A41753"
"IS1182-like element ISBco4 family transposase","A58814"
"IS1182-like element ISBcy1 family transposase","A25024"
"IS1182-like element ISBdo1 family transposase","A43768"
"IS1182-like element ISBf3 family transposase","A33424"
"IS1182-like element ISBf4 family transposase","A69470"
"IS1182-like element ISBf5 family transposase","A55477"
"IS1182-like element ISBfun3 family transposase","A62344"
"IS1182-like element ISBma2 family transposase","A23564"
"IS1182-like element ISBpu1 family transposase","A51556"
"IS1182-like element ISBrsp10 family transposase","A43651"
"IS1182-like element ISBrsp2 family transposase","A52488"
"IS1182-like element ISBsp5 family transposase","A55544"
"IS1182-like element ISBspe1 family transposase","A55658"
"IS1182-like element ISBth7 family transposase","A16023"
"IS1182-like element ISBthe2 family transposase","A19991"
"IS1182-like element ISBuce1 family transposase","A61977"
"IS1182-like element ISBusp4 family transposase","A45288"
"IS1182-like element ISCbo5 family transposase","A64243"
"IS1182-like element ISCc5 family transposase","A40553"
"IS1182-like element ISCef1 family transposase","A64010"
"IS1182-like element ISCfr1 family transposase","A5991"
"IS1182-like element ISClbo1 family transposase","A50617"
"IS1182-like element ISClbu1 family transposase","A42774"
"IS1182-like element ISClhy1 family transposase","A66211"
"IS1182-like element ISCno1 family transposase","A57432"
"IS1182-like element ISCoco1 family transposase","A51838"
"IS1182-like element ISCpe5 family transposase","A42267"
"IS1182-like element ISCps6 family transposase","A51802"
"IS1182-like element ISDha11 family transposase","A64327"
"IS1182-like element ISDha8 family transposase","A64328"
"IS1182-like element ISDre5 family transposase","A51415"
"IS1182-like element ISEfa12 family transposase","A46400"
"IS1182-like element ISEfa7 family transposase","A22811"
"IS1182-like element ISEnfa2 family transposase","A27934"
"IS1182-like element ISFnu1 family transposase","A44549"
"IS1182-like element ISFnu2 family transposase","A44550"
"IS1182-like element ISGdi13 family transposase","A61482"
"IS1182-like element ISGdi16 family transposase","A38955"
"IS1182-like element ISGho1 family transposase","A40934"
"IS1182-like element ISGvi6 family transposase","A69327"
"IS1182-like element ISHmo2 family transposase","A59946"
"IS1182-like element ISKpn6 family transposase","A18596"
"IS1182-like element ISLac1 family transposase","A44071"
"IS1182-like element ISLlo2 family transposase","A43679"
"IS1182-like element ISLpn13 family transposase","A35445"
"IS1182-like element ISMac1 family transposase","A50519"
"IS1182-like element ISMac2 family transposase","A50534"
"IS1182-like element ISMac20 family transposase","A50523"
"IS1182-like element ISMdi6 family transposase","A30208"
"IS1182-like element ISMex36 family transposase","A43835"
"IS1182-like element ISMgi2 family transposase","A64086"
"IS1182-like element ISMgi3 family transposase","A62448"
"IS1182-like element ISMhu1 family transposase","A60738"
"IS1182-like element ISMhu2 family transposase","A60737"
"IS1182-like element ISMma2 family transposase","A39247"
"IS1182-like element ISMno10 family transposase","A66513"
"IS1182-like element ISMno15 family transposase","A66534"
"IS1182-like element ISMno17 family transposase","A66511"
