,0
0,0.6424751543373787
1,0.9346976210916431
2,0.7532482108527476
3,0.6697775952013326
4,0.9528838406447567
5,0.4698703033560241
6,0.9684979513523682
7,0.41403597494979993
8,0.6669958786491434
9,0.09730826525369246
10,0.14278731975691256
11,0.3654814507491011
12,0.778478142889368
13,0.307856411321939
14,0.5411287896273783
15,0.545199418276763
16,0.4876314966247845
17,0.2528685655192121
18,0.08319414678702007
19,0.909764866485616
20,0.45944726422368043
21,0.5610935293572217
22,0.17458163443188446
23,0.7820012998433384
24,0.44724830818776157
25,0.8722340775417756
26,0.4705587012991295
27,0.8825038705651724
28,0.9027991474411197
29,0.9731791238488071
30,0.12151904379610144
31,0.4620363692108068
32,0.5793778036991497
33,0.6955377973744117
34,0.918729374208041
35,0.49381719330964013
36,0.916575064939229
37,0.11269343568341454
38,0.9443817039199899
39,0.7737220875129039
40,0.666198866927259
41,0.763502976675259
42,0.554594844863062
43,0.5888614871300706
44,0.3315926980958417
45,0.9289266488438181
46,0.11817614687721725
47,0.7494780731627831
48,0.4605959952673265
49,0.2981816556078435
